a,b,e,d,c,137.65
a,c,e,b,d,111.18
b,d,a,e,c,127.85
c,e,d,b,a,87.54
c,b,e,d,a,106.21
b,c,a,e,d,156.76
e,d,a,b,c,74.5
c,b,a,e,d,94.76
a,d,b,c,e,88.56
c,a,b,e,d,84.56
a,b,d,e,c,112.18
d,e,b,a,c,96.37
e,d,c,a,b,160.79
d,e,c,a,b,109.63
a,e,c,b,d,93.23
a,c,d,b,e,152.53
b,c,d,a,e,169.55
b,a,e,d,c,124.99
a,d,b,e,c,142.23
a,d,e,b,c,122.52
c,d,a,b,e,77.71
a,b,c,e,d,61.52
d,c,e,a,b,111.68
b,d,c,e,a,124.97
a,e,c,d,b,132.26
d,a,b,e,c,82.33
a,c,d,e,b,117.08
e,d,c,b,a,120.94
d,a,b,c,e,157.08
d,c,a,e,b,101.9
e,b,d,c,a,112.34
b,e,d,a,c,163.36
e,b,a,d,c,179.74
a,c,b,d,e,95.15
e,b,c,d,a,136.13
c,d,e,b,a,112.94
c,d,a,e,b,103.1
b,d,e,c,a,112.63
d,b,e,c,a,119.58
c,b,d,e,a,124.03
d,e,a,c,b,123.93
e,c,b,d,a,155.56
e,a,b,c,d,168.31
d,a,c,b,e,126.26
e,c,d,b,a,101.93
c,e,d,a,b,97.64
e,c,a,d,b,145.05
e,c,a,b,d,186.33
a,c,b,e,d,219.85
e,a,b,d,c,203.28
e,b,d,a,c,101.23
e,b,c,a,d,99.59
e,c,b,a,d,132.7
c,d,b,a,e,103.56
c,e,b,d,a,119.19
b,a,c,d,e,92
d,c,b,e,a,77
b,c,d,e,a,115.54
d,b,a,c,e,108.02
d,b,c,a,e,85.94
d,e,b,c,a,108.06
a,d,c,b,e,161.51
d,b,e,a,c,159.44
c,d,b,e,a,94.42
a,b,c,d,e,159.96
d,e,a,b,c,205.05
e,b,a,c,d,143.06
c,a,d,e,b,80.26
b,d,e,a,c,93.72
b,a,e,c,d,109.53
a,e,d,c,b,96.5
d,a,e,c,b,108.99
a,d,c,e,b,105.19
c,d,e,a,b,104.68
d,c,e,b,a,105.13
b,c,a,d,e,121.76
a,e,d,b,c,121.22
a,e,b,c,d,144.4
e,d,b,a,c,114.37
a,b,e,c,d,109.66
a,e,b,d,c,123.13
d,a,c,e,b,155.68
d,b,a,e,c,117.09
d,c,b,a,e,114.5
e,a,d,b,c,125.23
d,e,c,b,a,145.37
a,d,e,c,b,130.24
c,e,a,d,b,114.52
c,a,d,b,e,91.75
e,c,d,a,b,100.14
c,e,b,a,d,251.13
d,b,c,e,a,221.93
c,a,e,b,d,105.57
e,d,b,c,a,107.73
c,e,a,b,d,148.96
b,e,a,c,d,128.14
b,c,e,a,d,184.58
a,b,d,c,e,84.45
d,a,e,b,c,196.6
b,e,d,c,a,131.28
e,a,d,c,b,84.31
b,a,d,e,c,101.59
b,e,c,d,a,115.59
b,c,e,d,a,202.24
c,a,b,d,e,142.85
b,e,a,d,c,117.82
e,a,c,d,b,174.26
b,d,a,c,e,136.4
b,a,d,c,e,72.42
d,c,a,b,e,148.44
c,b,a,d,e,255.77
a,c,e,d,b,136.04
c,b,d,a,e,144.1
c,a,e,d,b,226.73
e,a,c,b,d,130.22
e,d,a,c,b,153.25
b,e,c,a,d,97.46
c,b,e,a,d,118.88
b,d,c,a,e,99.26
b,a,c,e,d,122.28
